nu_cm-1,alpha
1942.800,2.834546e-05
1942.850,4.317299e-05
1942.900,7.441561e-05
1942.950,1.595835e-04
1943.000,5.561918e-04
1943.050,5.611173e-03
1943.100,7.185969e-04
1943.150,1.867219e-04
1943.200,9.144478e-05
1943.250,9.786285e-05
1943.300,7.980563e-05
1943.350,2.705156e-04
1943.400,5.406872e-05
1943.450,2.838755e-05
1943.500,2.485002e-05
1943.550,2.916958e-05
1943.600,4.734565e-05
1943.650,1.310614e-04
1943.700,1.154354e-03
1943.750,2.625469e-04
1943.800,6.286171e-05
1943.850,2.923837e-05
1943.900,1.828243e-05
1943.950,1.386575e-05
1944.000,1.268934e-05
1944.050,1.528757e-05
1944.100,3.158854e-05
1944.150,2.238763e-04
1944.200,7.092777e-05
1944.250,1.794804e-05
1944.300,9.296719e-06
1944.350,6.483872e-06
1944.400,5.712874e-06
1944.450,1.095702e-05
1944.500,7.141162e-06
1944.550,3.688775e-06
1944.600,2.962309e-06
1944.650,2.611038e-06
1944.700,2.390181e-06
1944.750,2.275791e-06
1944.800,2.376527e-06
1944.850,2.010603e-06
1944.900,1.893723e-06
1944.950,1.817877e-06
1945.000,1.761310e-06
1945.050,1.719906e-06
1945.100,1.693166e-06
1945.150,1.682797e-06
1945.200,1.693386e-06
1945.250,1.734826e-06
1945.300,1.828804e-06
1945.350,2.028023e-06
1945.400,2.486406e-06
1945.450,3.818911e-06
1945.500,1.058452e-05
1945.550,6.683355e-05
1945.600,9.294027e-06
1945.650,3.811186e-06
1945.700,3.087761e-06
1945.750,6.585154e-06
1945.800,4.915271e-06
1945.850,2.203339e-06
1945.900,1.769451e-06
1945.950,1.624374e-06
1946.000,1.575893e-06
1946.050,1.551513e-06
1946.100,1.539348e-06
1946.150,1.605501e-06
1946.200,2.316547e-06
1946.250,1.861421e-06
1946.300,1.622098e-06
1946.350,1.624999e-06
1946.400,1.685127e-06
1946.450,1.845399e-06
1946.500,2.628706e-06
1946.550,7.032054e-06
1946.600,2.325414e-06
1946.650,2.029606e-06
1946.700,2.208084e-06
1946.750,3.690109e-06
1946.800,2.278620e-06
1946.850,2.161824e-06
1946.900,2.209378e-06
1946.950,2.297257e-06
1947.000,2.408077e-06
1947.050,2.538887e-06
1947.100,2.690567e-06
1947.150,2.865765e-06
1947.200,3.068489e-06
1947.250,3.304235e-06
1947.300,3.580444e-06
1947.350,3.907415e-06
1947.400,4.300205e-06
1947.450,4.783562e-06
1947.500,5.411448e-06
1947.550,6.427310e-06
1947.600,9.246860e-06
1947.650,8.558547e-06
1947.700,1.034724e-05
1947.750,1.465791e-05
1947.800,3.807012e-05
1947.850,4.693971e-05
1947.900,2.415119e-05
1947.950,2.717551e-05
1948.000,3.649469e-05
1948.050,5.405567e-05
1948.100,9.217668e-05
1948.150,2.040055e-04
1948.200,7.588783e-04
1948.250,4.226773e-03
1948.300,1.497897e-03
1948.350,3.022571e-04
1948.400,1.270539e-04
1948.450,7.322015e-05
1948.500,5.206511e-05
1948.550,4.535296e-05
1948.600,5.121325e-05
1948.650,8.586158e-05
1948.700,3.053805e-04
1948.750,1.502313e-03
1948.800,1.824736e-04
1948.850,1.045619e-04
1948.900,3.996746e-04
1948.950,6.982715e-05
1949.000,3.543497e-05
1949.050,1.765389e-05
1949.100,1.229567e-05
1949.150,9.499141e-06
1949.200,7.747520e-06
1949.250,6.542514e-06
1949.300,5.663355e-06
1949.350,4.995428e-06
1949.400,4.472873e-06
1949.450,4.055057e-06
1949.500,3.715582e-06
1949.550,3.436669e-06
1949.600,3.206084e-06
1949.650,3.015419e-06
1949.700,2.859157e-06
1949.750,2.734309e-06
1949.800,2.640639e-06
1949.850,2.581824e-06
1949.900,2.568754e-06
1949.950,2.629167e-06
1950.000,2.842122e-06
1950.050,3.522799e-06
1950.100,7.423065e-06
1950.150,1.000375e-05
1950.200,1.951413e-05
1950.250,5.501808e-05
1950.300,8.433491e-06
1950.350,3.954515e-06
1950.400,2.797230e-06
1950.450,2.326680e-06
1950.500,2.085452e-06
1950.550,1.943691e-06
1950.600,1.853205e-06
1950.650,1.792915e-06
1950.700,1.752758e-06
1950.750,1.728230e-06
1950.800,1.719258e-06
1950.850,1.734582e-06
1950.900,1.829821e-06
1950.950,2.787892e-06
1951.000,2.257903e-06
1951.050,3.447704e-06
1951.100,2.107649e-06
1951.150,1.816319e-06
1951.200,1.780002e-06
1951.250,1.795109e-06
1951.300,1.844016e-06
1951.350,1.955470e-06
1951.400,2.324060e-06
1951.450,5.907428e-06
1951.500,3.683527e-06
1951.550,2.286168e-06
1951.600,2.143355e-06
1951.650,2.169249e-06
1951.700,2.311946e-06
1951.750,3.075865e-06
1951.800,3.703864e-06
1951.850,2.596125e-06
1951.900,2.563110e-06
1951.950,2.657028e-06
1952.000,2.804406e-06
1952.050,3.003319e-06
1952.100,3.275870e-06
1952.150,3.679796e-06
1952.200,4.373692e-06
1952.250,5.923726e-06
1952.300,1.166408e-05
1952.350,6.717283e-05
1952.400,2.146561e-05
1952.450,8.528481e-06
1952.500,6.556383e-06
1952.550,6.287981e-06
1952.600,6.559846e-06
1952.650,7.147376e-06
1952.700,8.035574e-06
1952.750,9.346440e-06
1952.800,1.147830e-05
1952.850,1.424433e-05
1952.900,2.043110e-05
1952.950,4.051767e-05
1953.000,2.245506e-04
1953.050,9.933021e-05
1953.100,4.204264e-05
1953.150,4.081219e-05
1953.200,5.173157e-05
1953.250,7.592206e-05
1953.300,1.297536e-04
1953.350,2.823939e-04
1953.400,1.052785e-03
1953.450,8.761386e-03
1953.500,9.621090e-04
1953.550,3.205292e-04
