nu_cm-1,alpha_line1,alpha_line2,alpha_total,transmittance
7185.488,5.908114e-03,1.562547e-02,2.153359e-02,9.786966e-01
7185.489,6.016799e-03,1.591819e-02,2.193499e-02,9.783038e-01
7185.490,6.128469e-03,1.621918e-02,2.234765e-02,9.779002e-01
7185.491,6.243231e-03,1.652875e-02,2.277198e-02,9.774853e-01
7185.492,6.361199e-03,1.684724e-02,2.320844e-02,9.770588e-01
7185.493,6.482489e-03,1.717498e-02,2.365747e-02,9.766202e-01
7185.494,6.607225e-03,1.751233e-02,2.411955e-02,9.761690e-01
7185.495,6.735533e-03,1.785966e-02,2.459519e-02,9.757048e-01
7185.496,6.867548e-03,1.821818e-02,2.508573e-02,9.752263e-01
7185.497,7.003409e-03,1.858673e-02,2.559014e-02,9.747345e-01
7185.498,7.143263e-03,1.896649e-02,2.610975e-02,9.742282e-01
7185.499,7.287261e-03,1.935792e-02,2.664518e-02,9.737067e-01
7185.500,7.435681e-03,1.976148e-02,2.719717e-02,9.731693e-01
7185.501,7.588444e-03,2.017769e-02,2.776613e-02,9.726158e-01
7185.502,7.745847e-03,2.060706e-02,2.835290e-02,9.720453e-01
7185.503,7.908072e-03,2.105013e-02,2.895820e-02,9.714571e-01
7185.504,8.075310e-03,2.150748e-02,2.958279e-02,9.708505e-01
7185.505,8.247757e-03,2.197973e-02,3.022748e-02,9.702248e-01
7185.506,8.425623e-03,2.246749e-02,3.089311e-02,9.695792e-01
7185.507,8.609123e-03,2.297143e-02,3.158055e-02,9.689129e-01
7185.508,8.798484e-03,2.349226e-02,3.229075e-02,9.682250e-01
7185.509,8.993943e-03,2.403071e-02,3.302466e-02,9.675147e-01
7185.510,9.195748e-03,2.458756e-02,3.378331e-02,9.667810e-01
7185.511,9.404156e-03,2.516361e-02,3.456777e-02,9.660229e-01
7185.512,9.619438e-03,2.575972e-02,3.537916e-02,9.652394e-01
7185.513,9.841877e-03,2.637678e-02,3.621866e-02,9.644294e-01
7185.514,1.007177e-02,2.701574e-02,3.708751e-02,9.635918e-01
7185.515,1.030941e-02,2.767759e-02,3.798700e-02,9.627255e-01
7185.516,1.055514e-02,2.836336e-02,3.891849e-02,9.618291e-01
7185.517,1.080927e-02,2.907414e-02,3.988341e-02,9.609015e-01
7185.518,1.107217e-02,2.981108e-02,4.088325e-02,9.599412e-01
7185.519,1.134419e-02,3.057538e-02,4.191957e-02,9.589469e-01
7185.520,1.162571e-02,3.136830e-02,4.299401e-02,9.579171e-01
7185.521,1.191712e-02,3.219116e-02,4.410828e-02,9.568503e-01
7185.522,1.221883e-02,3.304534e-02,4.526417e-02,9.557450e-01
7185.523,1.253126e-02,3.393229e-02,4.646356e-02,9.545993e-01
7185.524,1.285485e-02,3.485353e-02,4.770838e-02,9.534118e-01
7185.525,1.319005e-02,3.581062e-02,4.900068e-02,9.521805e-01
7185.526,1.353733e-02,3.680524e-02,5.034257e-02,9.509036e-01
7185.527,1.389717e-02,3.783908e-02,5.173626e-02,9.495793e-01
7185.528,1.427007e-02,3.891396e-02,5.318403e-02,9.482055e-01
7185.529,1.465655e-02,4.003172e-02,5.468827e-02,9.467802e-01
7185.530,1.505712e-02,4.119431e-02,5.625142e-02,9.453014e-01
7185.531,1.547232e-02,4.240372e-02,5.787604e-02,9.437669e-01
7185.532,1.590270e-02,4.366203e-02,5.956473e-02,9.421745e-01
7185.533,1.634882e-02,4.497138e-02,6.132020e-02,9.405220e-01
